instancia_id,algoritmo,heuristica,encontrado,pasos,tiempo_ms,nodos_expandidos,nodos_generados,memoria_max
21,codicioso,h3,True,38,3.59,61,108,108
21,a_estrella,h3,True,26,112.137,1884,3064,3015
21,codicioso,h4,True,36,4.878,77,130,130
21,a_estrella,h4,True,26,97.363,1502,2445,2409
21,codicioso,h5,True,26,1.347,30,55,55
21,a_estrella,h5,True,26,6.247,140,247,246
21,codicioso,h6_w0.3,True,70,18.567,429,726,718
21,a_estrella,h6_w0.3,True,26,873.821,15243,24646,23658
21,codicioso,h6_w0.6,True,66,21.635,316,531,526
21,a_estrella,h6_w0.6,True,26,410.487,7062,11373,11014
21,codicioso,h6_w1.0,True,56,11.21,264,444,441
21,a_estrella,h6_w1.0,True,26,148.163,3543,5680,5556
22,codicioso,h1,True,36,16.168,441,751,735
22,a_estrella,h1,True,24,837.075,16641,27155,26050
22,codicioso,h2,True,46,21.201,403,692,686
22,a_estrella,h2,True,24,22.879,494,785,774
22,codicioso,h3,True,28,1.824,31,53,53
22,a_estrella,h3,True,24,17.081,309,497,492
22,codicioso,h4,True,36,5.073,77,135,135
22,a_estrella,h4,True,24,22.845,368,608,605
22,codicioso,h5,True,24,1.147,25,46,46
22,a_estrella,h5,True,24,2.305,44,79,78
22,codicioso,h6_w0.3,True,28,2.322,33,56,56
22,a_estrella,h6_w0.3,True,24,254.393,4711,7674,7468
22,codicioso,h6_w0.6,True,28,1.633,33,56,56
22,a_estrella,h6_w0.6,True,24,66.529,1563,2542,2488
22,codicioso,h6_w1.0,True,46,16.607,403,692,686
22,a_estrella,h6_w1.0,True,24,19.208,494,785,774
23,codicioso,h1,True,50,16.982,503,838,820
23,a_estrella,h1,True,20,125.412,3435,5768,5613
23,codicioso,h2,True,32,10.081,264,454,452
23,a_estrella,h2,True,20,3.584,100,167,167
23,codicioso,h3,True,32,3.516,58,106,106
23,a_estrella,h3,True,20,3.493,57,102,102
23,codicioso,h4,True,32,4.226,58,106,106
23,a_estrella,h4,True,20,2.987,45,82,82
23,codicioso,h5,True,20,1.069,23,45,45
23,a_estrella,h5,True,20,1.369,32,61,61
23,codicioso,h6_w0.3,True,50,16.828,326,553,548
23,a_estrella,h6_w0.3,True,20,38.656,926,1560,1526
23,codicioso,h6_w0.6,True,50,13.522,329,562,557
23,a_estrella,h6_w0.6,True,20,15.193,315,519,508
23,codicioso,h6_w1.0,True,32,11.789,264,454,452
23,a_estrella,h6_w1.0,True,20,6.956,100,167,167
24,codicioso,h1,True,62,54.394,948,1593,1560
24,a_estrella,h1,True,22,401.614,7857,12895,12431
24,codicioso,h2,True,52,16.271,405,702,695
24,a_estrella,h2,True,22,44.157,1090,1777,1740
24,codicioso,h3,True,22,2.959,50,87,87
24,a_estrella,h3,True,22,44.747,720,1172,1148
24,codicioso,h4,True,22,3.254,50,87,87
24,a_estrella,h4,True,22,44.375,636,1037,1017
24,codicioso,h5,True,22,1.095,24,44,44
24,a_estrella,h5,True,22,3.303,77,137,133
24,codicioso,h6_w0.3,True,62,16.506,377,643,638
24,a_estrella,h6_w0.3,True,22,144.899,3137,5165,5018
24,codicioso,h6_w0.6,True,62,15.968,377,646,641
24,a_estrella,h6_w0.6,True,22,75.627,1588,2586,2522
24,codicioso,h6_w1.0,True,52,17.609,405,702,695
24,a_estrella,h6_w1.0,True,22,47.173,1090,1777,1740
25,codicioso,h1,True,50,49.164,1174,1969,1930
25,a_estrella,h1,True,22,313.147,7760,12748,12327
25,codicioso,h2,True,34,7.528,141,242,241
25,a_estrella,h2,True,22,39.426,877,1425,1408
25,codicioso,h3,True,34,5.153,85,149,149
25,a_estrella,h3,True,22,30.825,541,868,858
25,codicioso,h4,True,34,3.963,61,105,105
25,a_estrella,h4,True,22,21.663,322,519,516
25,codicioso,h5,True,24,1.119,25,46,46
25,a_estrella,h5,True,22,2.737,66,116,116
25,codicioso,h6_w0.3,True,60,21.028,453,770,765
25,a_estrella,h6_w0.3,True,22,130.696,2897,4742,4608
25,codicioso,h6_w0.6,True,60,17.578,382,657,654
25,a_estrella,h6_w0.6,True,22,64.243,1423,2321,2268
25,codicioso,h6_w1.0,True,34,5.592,141,242,241
25,a_estrella,h6_w1.0,True,22,39.023,877,1425,1408
26,codicioso,h1,True,40,12.351,252,431,423
26,a_estrella,h1,True,24,758.757,17800,28934,27642
26,codicioso,h2,True,82,29.296,703,1212,1193
26,a_estrella,h2,True,24,68.336,1750,2836,2786
26,codicioso,h3,True,26,3.078,51,91,91
26,a_estrella,h3,True,24,92.01,1152,1883,1856
26,codicioso,h4,True,26,4.651,48,86,86
26,a_estrella,h4,True,24,86.066,941,1537,1513
26,codicioso,h5,True,24,1.293,29,53,53
26,a_estrella,h5,True,24,9.049,209,357,353
26,codicioso,h6_w0.3,True,72,9.178,206,347,341
26,a_estrella,h6_w0.3,True,24,325.079,6719,11008,10657
26,codicioso,h6_w0.6,True,72,6.9,168,287,285
26,a_estrella,h6_w0.6,True,24,149.813,3190,5182,5042
26,codicioso,h6_w1.0,True,82,30.868,703,1212,1193
26,a_estrella,h6_w1.0,True,24,72.237,1750,2836,2786
27,codicioso,h1,True,56,54.06,1327,2218,2166
27,a_estrella,h1,True,26,2026.134,37808,59786,55828
27,codicioso,h2,True,58,16.76,374,645,638
27,a_estrella,h2,True,26,155.8,3462,5556,5447
27,codicioso,h3,True,46,6.069,101,173,172
27,a_estrella,h3,True,26,119.161,1946,3156,3112
27,codicioso,h4,True,36,6.005,68,118,118
27,a_estrella,h4,True,26,83.36,1167,1899,1882
27,codicioso,h5,True,26,1.528,33,65,65
27,a_estrella,h5,True,26,17.065,366,645,637
27,codicioso,h6_w0.3,True,56,16.41,408,688,679
27,a_estrella,h6_w0.3,True,26,746.291,14824,23903,22911
27,codicioso,h6_w0.6,True,70,17.666,396,681,678
27,a_estrella,h6_w0.6,True,26,312.567,6796,10946,10583
27,codicioso,h6_w1.0,True,58,15.716,374,645,638
27,a_estrella,h6_w1.0,True,26,162.078,3462,5556,5447
28,codicioso,h1,True,41,13.314,382,654,643
28,a_estrella,h1,True,23,598.746,13069,21375,20579
28,codicioso,h2,True,29,3.474,54,95,94
28,a_estrella,h2,True,23,41.009,1011,1613,1584
28,codicioso,h3,True,29,2.541,40,75,75
28,a_estrella,h3,True,23,45.992,599,970,956
28,codicioso,h4,True,35,4.898,73,132,132
28,a_estrella,h4,True,23,41.297,495,808,796
28,codicioso,h5,True,23,1.55,24,45,45
28,a_estrella,h5,True,23,4.038,96,167,166
28,codicioso,h6_w0.3,True,31,2.137,54,92,90
28,a_estrella,h6_w0.3,True,23,298.516,4560,7473,7277
28,codicioso,h6_w0.6,True,47,11.275,100,176,174
28,a_estrella,h6_w0.6,True,23,100.218,1994,3242,3159
28,codicioso,h6_w1.0,True,29,3.708,54,95,94
28,a_estrella,h6_w1.0,True,23,44.055,1011,1613,1584
29,codicioso,h1,True,62,68.593,1818,3019,2935
29,a_estrella,h1,True,24,753.736,17815,28918,27639
29,codicioso,h2,True,30,8.186,183,308,302
29,a_estrella,h2,True,24,68.953,1530,2452,2412
29,codicioso,h3,True,30,6.589,97,167,165
29,a_estrella,h3,True,24,56.237,979,1580,1554
29,codicioso,h4,True,32,6.545,97,167,165
29,a_estrella,h4,True,24,48.313,709,1145,1127
29,codicioso,h5,True,34,2.719,60,110,110
29,a_estrella,h5,True,24,5.971,116,206,203
29,codicioso,h6_w0.3,True,40,5.561,122,216,212
29,a_estrella,h6_w0.3,True,24,295.376,6499,10657,10343
29,codicioso,h6_w0.6,True,40,4.422,98,173,172
29,a_estrella,h6_w0.6,True,24,139.108,2956,4811,4682
29,codicioso,h6_w1.0,True,30,7.183,183,308,302
29,a_estrella,h6_w1.0,True,24,65.18,1530,2452,2412
30,codicioso,h1,True,73,50.142,1269,2122,2066
30,a_estrella,h1,True,25,1457.61,27295,43645,41238
30,codicioso,h2,True,39,15.161,257,436,433
30,a_estrella,h2,True,25,55.55,981,1569,1546
30,codicioso,h3,True,35,5.48,77,130,130
30,a_estrella,h3,True,25,39.119,454,727,719
30,codicioso,h4,True,33,3.732,53,94,94
30,a_estrella,h4,True,25,14.976,240,390,388
30,codicioso,h5,True,29,3.42,55,98,98
30,a_estrella,h5,True,25,8.527,114,198,197
30,codicioso,h6_w0.3,True,43,16.122,233,384,379
30,a_estrella,h6_w0.3,True,25,586.205,8291,13468,13054
30,codicioso,h6_w0.6,True,43,14.247,229,380,375
30,a_estrella,h6_w0.6,True,25,201.812,2893,4640,4523
30,codicioso,h6_w1.0,True,39,19.571,257,436,433
30,a_estrella,h6_w1.0,True,25,57.468,981,1569,1546
31,codicioso,h1,True,43,39.359,756,1286,1267
31,a_estrella,h1,True,27,3557.979,56982,88109,80692
31,codicioso,h2,True,51,32.604,546,941,930
31,a_estrella,h2,True,27,411.287,6561,10372,10099
31,codicioso,h3,True,37,4.848,79,141,141
31,a_estrella,h3,True,27,296.87,3729,5963,5833
31,codicioso,h4,True,41,5.181,77,137,137
